S.No,Domain,Level,Question Type,Question,Description,Sample Input,Sample Output
1,Frontend,Easy,Coding,Frontend Easy Coding Question 1: Solve the given problem.,Write a function to process the input.,Sample Input,Sample Output
2,Frontend,Easy,Coding,Frontend Easy Coding Question 2: Solve the given problem.,Write a function to process the input.,Sample Input,Sample Output
3,Frontend,Easy,Coding,Frontend Easy Coding Question 3: Solve the given problem.,Write a function to process the input.,Sample Input,Sample Output
4,Frontend,Easy,Coding,Frontend Easy Coding Question 4: Solve the given problem.,Write a function to process the input.,Sample Input,Sample Output
5,Frontend,Easy,Coding,Frontend Easy Coding Question 5: Solve the given problem.,Write a function to process the input.,Sample Input,Sample Output
6,Frontend,Easy,Coding,Frontend Easy Coding Question 6: Solve the given problem.,Write a function to process the input.,Sample Input,Sample Output
7,Frontend,Easy,Coding,Frontend Easy Coding Question 7: Solve the given problem.,Write a function to process the input.,Sample Input,Sample Output
8,Frontend,Easy,Coding,Frontend Easy Coding Question 8: Solve the given problem.,Write a function to process the input.,Sample Input,Sample Output
9,Frontend,Easy,Coding,Frontend Easy Coding Question 9: Solve the given problem.,Write a function to process the input.,Sample Input,Sample Output
10,Frontend,Easy,Coding,Frontend Easy Coding Question 10: Solve the given problem.,Write a function to process the input.,Sample Input,Sample Output
11,Frontend,Medium,Coding,Frontend Medium Coding Question 1: Solve the given problem.,Write a function to process the input.,Sample Input,Sample Output
12,Frontend,Medium,Coding,Frontend Medium Coding Question 2: Solve the given problem.,Write a function to process the input.,Sample Input,Sample Output
13,Frontend,Medium,Coding,Frontend Medium Coding Question 3: Solve the given problem.,Write a function to process the input.,Sample Input,Sample Output
14,Frontend,Medium,Coding,Frontend Medium Coding Question 4: Solve the given problem.,Write a function to process the input.,Sample Input,Sample Output
15,Frontend,Medium,Coding,Frontend Medium Coding Question 5: Solve the given problem.,Write a function to process the input.,Sample Input,Sample Output
16,Frontend,Medium,Coding,Frontend Medium Coding Question 6: Solve the given problem.,Write a function to process the input.,Sample Input,Sample Output
17,Frontend,Medium,Coding,Frontend Medium Coding Question 7: Solve the given problem.,Write a function to process the input.,Sample Input,Sample Output
18,Frontend,Medium,Coding,Frontend Medium Coding Question 8: Solve the given problem.,Write a function to process the input.,Sample Input,Sample Output
19,Frontend,Medium,Coding,Frontend Medium Coding Question 9: Solve the given problem.,Write a function to process the input.,Sample Input,Sample Output
20,Frontend,Medium,Coding,Frontend Medium Coding Question 10: Solve the given problem.,Write a function to process the input.,Sample Input,Sample Output
21,Frontend,Hard,Coding,Frontend Hard Coding Question 1: Solve the given problem.,Write a function to process the input.,Sample Input,Sample Output
22,Frontend,Hard,Coding,Frontend Hard Coding Question 2: Solve the given problem.,Write a function to process the input.,Sample Input,Sample Output
23,Frontend,Hard,Coding,Frontend Hard Coding Question 3: Solve the given problem.,Write a function to process the input.,Sample Input,Sample Output
24,Frontend,Hard,Coding,Frontend Hard Coding Question 4: Solve the given problem.,Write a function to process the input.,Sample Input,Sample Output
25,Frontend,Hard,Coding,Frontend Hard Coding Question 5: Solve the given problem.,Write a function to process the input.,Sample Input,Sample Output
26,Frontend,Hard,Coding,Frontend Hard Coding Question 6: Solve the given problem.,Write a function to process the input.,Sample Input,Sample Output
27,Frontend,Hard,Coding,Frontend Hard Coding Question 7: Solve the given problem.,Write a function to process the input.,Sample Input,Sample Output
28,Frontend,Hard,Coding,Frontend Hard Coding Question 8: Solve the given problem.,Write a function to process the input.,Sample Input,Sample Output
29,Frontend,Hard,Coding,Frontend Hard Coding Question 9: Solve the given problem.,Write a function to process the input.,Sample Input,Sample Output
